"","X1","X2","X3","technology"
"238","Plantinga, AJ, Mauldin, T","2001","A method for estimating the cost of CO2 mitigation through afforestation","Afforestation and Reforestation"
"239","Zhang, Q, Justice, CO","2001","Carbon emissions and sequestration potential of central African ecosystems","Afforestation and Reforestation"
"240","Boer, R.","2001","Economic assessment of mitigation options for enhancing and maintaining carbon sink capacity in Indonesia","Afforestation and Reforestation"
"241","Ravindranath, N.H., Sudha, P., Rao, S.","2001","Forestry for sustainable biomass production and carbon sequesteration in india","Afforestation and Reforestation"
"242","Yamagata, Y, Alexandrov, GA","2001","Would forestation alleviate the burden of emission reduction? An assessment of the future carbon sink from ARD activities","Afforestation and Reforestation"
"243","van Kooten, GC","2000","Economic dynamics of tree planting for carbon uptake on marginal agricultural lands","Afforestation and Reforestation"
"244","Alig, R.","2000","Mitigation, adaptation, and climate change: Results from recent research on US timber markets","Afforestation and Reforestation"
"245","Somogyi, Z.","2000","Possibilities for carbon sequestration by the forestry sector in Hungary","Afforestation and Reforestation"
"246","Singh, R, Lal, M","2000","Sustainable forestry in India for carbon mitigation","Afforestation and Reforestation"
"247","Rykowski, K.","2000","The role of forest ecosystems and wood in controlling the absorption and emission of carbon dioxide","Afforestation and Reforestation"
"248","Parker, WC, Colombo, SJ, Cherry, ML, Flannigan, MD, Greifenhagen, S, McAlpine, RS, Papadopol, C, Scarr, T","2000","Third Millennium Forestry: What climate change might mean to forests and forest management in Ontario","Afforestation and Reforestation"
"249","Kaiser","2000","Panel Estimates Possible Carbon 'Sinks'","Afforestation and Reforestation"
"250","Plantinga, AJ, Mauldin, T, Miller, DJ","1999","An econometric analysis of the costs of sequestering carbon in forests","Afforestation and Reforestation"
"251","Chang, C.-C.","1999","Carbon sequestration cost by afforestation in Taiwan","Afforestation and Reforestation"
"252","van Kooten, GC, Krcmar-Nozic, E, Stennes, B, van Gorkom, R","1999","Economics of fossil fuel substitution and wood product sinks when trees are planted to sequester carbon on agricultural lands in western Canada","Afforestation and Reforestation"
"253","MacLaren, P.","1999","Modelling the effect of land-use practices on greenhouse gas emissions and sinks in New Zealand","Afforestation and Reforestation"
"254","Niskanen, A","1998","Value of external environmental impacts of reforestation in Thailand","Afforestation and Reforestation"
"255","Alig, R, Adams, D, Mccarl, B, Callaway, JM, Winnett, S","1997","Assessing effects of mitigation strategies for global climate change with an intertemporal model of the US forest and agriculture sectors","Afforestation and Reforestation"
"256","Niskanen, A.","1997","Economic profitability of afforestation in Thailand and the Philippines","Afforestation and Reforestation"
"257","Shvidenko, A, Nilsson, S, Roshkov, V","1997","Possibilities for increased carbon sequestration through the implementation of rational forest management in Russia","Afforestation and Reforestation"
"258","Marca, O.L.","1997","Sustainable management of forests for atmospheric co2 depletion: The italian case","Afforestation and Reforestation"
"259","Brown","1996","Management of forests for mitigation of greenhouse gases","Afforestation and Reforestation"
"260","Kokorin, AO, Lelyakin, AL, Nazarov, IM, Fillipchuk, AN","1996","Calculation of CO2 net sinks emissions in Russian forests and assessment of mitigation options","Afforestation and Reforestation"
"261","Vinson, TS, Kolchugina, TP, Andrasko, KA","1996","Greenhouse gas mitigation options in the forest sector of Russia: National and project level assessments","Afforestation and Reforestation"
"262","NILSSON, S, SCHOPFHAUSER, W","1995","THE CARBON-SEQUESTRATION POTENTIAL OF A GLOBAL AFFORESTATION PROGRAM","Afforestation and Reforestation"
"264","TURNER, DP, KOERPER, GJ, HARMON, ME, LEE, JJ","1995","CARBON SEQUESTRATION BY FORESTS OF THE UNITED-STATES - CURRENT STATUS AND PROJECTIONS TO THE YEAR 2040","Afforestation and Reforestation"
"265","Barker, JR, Baumgardner, GA, Turner, DP, Lee, JJ","1995","Potential carbon benefits of the Conservation Reserve Program in the United States","Afforestation and Reforestation"
"266","Wangwacharakul, V, Bowonwiwat, R","1995","Economic evaluation of CO2 response options in the forestry sector: The case of Thailand","Afforestation and Reforestation"
"267","DIXON, RK, WINJUM, JK, ANDRASKO, KJ, LEE, JJ, SCHROEDER, PE","1994","INTEGRATED LAND-USE SYSTEMS - ASSESSMENT OF PROMISING AGROFOREST AND ALTERNATIVE LAND-USE PRACTICES TO ENHANCE CARBON CONSERVATION AND SEQUESTRATION","Afforestation and Reforestation"
"268","GUPTA, RK, RAO, DLN","1994","POTENTIAL OF WASTELANDS FOR SEQUESTERING CARBON BY REFORESTATION","Afforestation and Reforestation"
"269","SWISHER, JN","1994","FORESTRY AND BIOMASS ENERGY PROJECTS - BOTTOM-UP COMPARISONS OF CO2 STORAGE AND COSTS","Afforestation and Reforestation"
"270","P. Burschel, E. KÜrsten, B. C. Larson, M. Weber","1993","Present role of German forests and forestry in the national carbon budget and options to its increase","Afforestation and Reforestation"
"271","J. D. Unruh, R. A. Houghton,
  P. A. Lefebvre","1993","Carbon storage in agroforestry: an estimate for sub-Saharan Africa","Afforestation and Reforestation"
"272","R. A. Houghton,
  J. D. Unruh,
  P. A. Lefebvre","1993","CURRENT LAND-COVER IN THE TROPICS AND ITS POTENTIAL FOR SEQUESTERING CARBON","Afforestation and Reforestation"
"273","Robert K. Dixon, Jack K. Winjum, Paul E. Schroeder","1993","CONSERVATION AND SEQUESTRATION OF CARBON - THE POTENTIAL OF FOREST AND AGROFOREST MANAGEMENT-PRACTICES","Afforestation and Reforestation"
"274","J.R.E. Harger","1993","POTENTIAL LIMITS OF HUMAN DOMINATED FOSSIL ENERGY-BASED GLOBAL ECOSYSTEMS","Afforestation and Reforestation"
"275","Jack K. Winjum, Robert K. Dixon, Paul E. Schroeder","1993","FOREST MANAGEMENT AND CARBON STORAGE - AN ANALYSIS OF 12 KEY FOREST NATIONS","Afforestation and Reforestation"
"276","Winjum, Jack K.","1992","ESTIMATING THE GLOBAL POTENTIAL OF FOREST AND AGROFOREST MANAGEMENT-PRACTICES TO SEQUESTER CARBON","Afforestation and Reforestation"
"277","Bekkering, Titus","1992","USING TROPICAL FORESTS TO FIX ATMOSPHERIC CARBON - THE POTENTIAL IN THEORY AND PRACTICE","Afforestation and Reforestation"
"278","van Kooten, G.C.; Arthur, Louise M.; Wilson, W.R.","1992","POTENTIAL TO SEQUESTER CARBON IN CANADIAN FORESTS - SOME ECONOMIC-CONSIDERATIONS","Afforestation and Reforestation"
"279","HUETTL, RF, ZOETTL, HW","1992","FOREST FERTILIZATION - ITS POTENTIAL TO INCREASE THE CO2 STORAGE CAPACITY AND TO ALLEVIATE THE DECLINE OF THE GLOBAL FORESTS","Afforestation and Reforestation"
"280","Swisher, Joel N","1991","Cost and performance of CO 2 storage in forestry projects","Afforestation and Reforestation"
"281","Myers and Goreau","1991","Tropical forests and the greenhouse effect: a management response","Afforestation and Reforestation"
"282","Huang, L, Liu, JY, Shao, QQ, Xu, XL",NA,"Carbon sequestration by forestation across China: Past, present, and future","Afforestation and Reforestation"
"283",NA,NA,NA,"BECCS"
"344","Zeman","2003","Zeman, F. S. An Investigation into the Feasibility of Capturing Carbon Dioxide Directly from the Atmosphere. In Proceedings of the 2nd Annual Conference on Carbon Sequestration, 2003.","DAC"
"345","Keith et al","2006","Keith, D. W.; Ha-Duong, M.; Stolaroff, J. K. Climate Strategy with CO2 Capture from the Air. Clim. Change 2006, 74, 17-45.","DAC"
"346","Nikulshina","2006","Nikulshina, V.; Hirsch, D.; Mazzotti, M.; Steinfeld, A. CO2 Capture from Air and Co-Production of H2 via the Ca(OH)2-CaCO3 Cycle Using Concentrated Solar Power<U+E0D5>Thermodynamic Analysis. Energy 2006, 31, 1715-1725","DAC"
"347","Stolaroff","2008","Stolaroff, J. K.; Keith, D. W.; Lowry, G. V. Carbon Dioxide Capture from Atmospheric Air Using Sodium Hydroxide Spray. Environ. Sci. Technol. 2008, 42, 2728-2735.","DAC"
"348","Lackner","2009","Lackner, K. S. Capture of Carbon Dioxide from Ambient Air. Eur. Phys. J.: Spec. Top. 2009, 176, 93","DAC"
"349","APS/ Socolow","2011","American Physical Society. Direct Air Capture of CO2 with Chemicals: A Technology Assesment for the APS Panel on Public A<U+FB00>airs; APS: 2011.","DAC"
"350","House","2011","House, K. Z.; Baclig, A. C.; Ranjan, M.; van Nierop, E. A.; Wilcox, J.; Herzog, H. J. Economic and Energetic Analysis of Capturing CO2 from Ambient Air. Proc. Natl. Acad. Sci. U. S. A. 2011, 108, 20428-20433.","DAC"
"351","Simon","2011","Simon, A. J.; Kaahaaina, N. B.; Friedmann, S. J.; Aines, R. D. Systems Analysis and Cost Estimates for Large Scale Capture of Carbon Dioxide from Air. Energy Procedia 2011, 4, 2893-2900","DAC"
"352","Kulkarni","2012","Kulkarni, A. R.; Sholl, D. S. Analysis of Equilibrium-Based TSA Processes for Direct Capture of CO2 from Air. Ind. Eng. Chem. Res. 2012, 51, 8631-8645","DAC"
"353","Holmes and Keith","2012","Holmes, G.; Keith, D. W. An Air-Liquid Contactor for Large Scale Capture of CO2 from Air. Philos. Trans. R. Soc., A 2012, 370, 4380-4403.","DAC"
"354","Mazzotti","2013","Mazzotti, M.; Baciocchi, R.; Desmond, M. J.; Socolow, R. H. Direct Air Capture of CO2 with Chemicals: Optimization of a Two Loop Hydroxide Carbonate System Using a Countercurrent AirLiquid Contactor. Clim. Change 2013, 118, 119-135.","DAC"
"355","Zeman","2014","Zeman, F. Reducing the Cost of Ca-Based Direct Air Capture of CO2. Environ. Sci. Technol. 2014, 48, 11730-11735.","DAC"
"356","van der Giesen","2017","A Life Cycle Assessment Case Study of Coal-Fired Electricity Generation with Humidity Swing Direct Air Capture of CO2 versus MEA-Based Postcombustion Capture","DAC"
"357","Sinha","2017","Systems Design and Economic Analysis of Direct Air Capture of CO2 through Temperature Vacuum Swing Adsorption Using MIL-101(Cr)-PEI-800 and mmen-Mg-2(dobpdc) MOF Adsorbents","DAC"
"359","Yinghui et al","2016","Cost analysis of air capture driven by wind energy under different scenarios.","DAC"
"360","Huang et al","2016","Ambient CO2 capture and storage in bioelectrochemically mediated wastewater treatment","DAC"
"361","Sakwa-Novak et al","2016","Poly(ethylenimine)-Functionalized Monolithic Alumina Honeycomb Adsorbents for CO2 Capture from Air","DAC"
"362","sanz-perez et al","2016","Direct Capture of CO2 from Ambient Air","DAC"
"363","Pritchard","2015","Thermodynamics, economics and systems thinking: What role for air capture of CO 2?","DAC"
"364","Zhang et al","2014","Capturing CO2 from ambient air using a polyethyleneimine-silica adsorbent in fluidized beds","DAC"
"365","McLaren","2012","A comparative global assessment of potential negative emissions technologies","DAC"
"366","Ferrer Gonzales & Ilyina","2016","Impacts of artificial ocean alkalinization on the carbon cycle and climate in Earth system simulations","Ocean alkalinisation"
"367","Feng et al.","2016","Could artificial ocean alkalinization protect tropical coral ecosystems from ocean acidification?","Ocean alkalinisation"
"368","Renforth et al.","2013","Engineering challenges of ocean liming","Ocean alkalinisation"
"369","Paquay & Zeebe","2013","Assessing possible consequences of ocean liming on ocean pH, atmospheric CO2 concentration and associated costs","Ocean alkalinisation"
"370","Renforth & Krüger","2013","Coupling Mineral Carbonation and Ocean Liming","Ocean alkalinisation"
"371","Rau","2008","Electrochemical Splitting of Calcium Carbonate to Increase Solution Alkalinity: Implications for Mitigation of Carbon Dioxide and Ocean Acidity","Ocean alkalinisation"
"372","Rau et al.","2007","Reducing energy-related CO2 emissions using accelerated weathering of limestone","Ocean alkalinisation"
"373","Rau & Caldeira","1999","Enhanced carbonate dissolution: a means of sequestering waste CO2 as ocean bicarbonate","Ocean alkalinisation"
"374","Renforth & Henderson","2017","Assessing ocean alkalinity for carbon sequestration","Ocean alkalinisation"
"375","Zahariev et al.","2008","Preindustrial, historical, and fertilization simulations using a global ocean carbon model with new parameterizations of iron limitation, calcification, and N2 fixation","Ocean fertilization"
"376","Sarmiento and Orr","1991","Three-dimensional simulations of the impact of Southern Ocean nutrient depletion on atmospheric CO2 and ocean chemistry","Ocean fertilization"
"377","Aumont & Bopp","2006","Globalizing results from ocean in situ iron fertilization studies","Ocean fertilization"
"378","Jin et al.","2008","The impact on atmospheric CO2 of iron fertilization induced changes in the ocean's biological pump","Ocean fertilization"
"379","Boyd","2008","Implications of large-scale iron fertilization of the oceans: Introduction and synthesis","Ocean fertilization"
"380","Joos et al.","1991","Possible effects of iron fertilization in the Southern Ocean on atmospheric CO2 concentration","Ocean fertilization"
"381","Harrison","2017","Global negative emissions capacity of ocean macronutrient fertilization","Ocean fertilization"
"382","Kurz & Maier-Reimer","1993","Iron fertilization of the austral ocean—The Hamburg Model Assessment","Ocean fertilization"
"383","Joos et al.","1991","Estimates of the effect of Southern Ocean iron fertilisation on atmospheric CO2 concentrations","Ocean fertilization"
"384","Wanninkhof & McGillis","1999","A  cubic relationship between air-sea C02 exchange and wind speed","Ocean fertilization"
"385","Markels & Barber","2001","Sequestration of carbon dioxide by ocean fertilization","Ocean fertilization"
"386","Bakker et al","2001","Southern Ocean iron enrichment promotes inorganic carbon drawdown","Ocean fertilization"
"387","Jones & Young","2009","The potential of the ocean for the management of global warming","Ocean fertilization"
"388","Matear & Elliott","2004","Enhancement of oceanic uptake of anthropogenic CO2 by macronutrient fertilization","Ocean fertilization"
"389","Wanninkhof & Sullivan","2004","Air-sea gas transfer in the Southern Ocean","Ocean fertilization"
"390","Zeebe & Archer","2005","Feasibility of ocean fertilization and its impact on future atmospheric CO2 levels","Ocean fertilization"
"391","Bakker et al","2005","Iron and mixing affect biological carbon uptake in SOIREE and EisenEx, two Southern Ocean iron fertilisation experiments","Ocean fertilization"
"392","Lenton & Vaughan","2009","The radiative forcing potential of different climate geoengineering options","Ocean fertilization"
"393","Strong et al","2009","Ocean fertilization: time to move on","Ocean fertilization"
"394","Bertram","2010","Ocean iron fertilization in the context of the Kyoto protocol and the post-Kyoto process","Ocean fertilization"
"395","Oschlies et al","2010","Climate engineering by artificial ocean upwelling: Channelling the sorcerer's apprentice","Ocean fertilization"
"396","Rickels et al","2012","Economic prospects of ocean iron fertilization in an international carbon market","Ocean fertilization"
"397","Russell et al","2012","Ecosystem Impacts of Geoengineering: A Review for Developing a Science Plan","Ocean fertilization"
"399","Caldeira et al","2013","The science of geoengineering","Ocean fertilization"
"400","Keller et al","2014","Potential climate engineering effectiveness and side effects during a high carbon dioxide-emission scenario","Ocean fertilization"
"402","Jones","2014","The cost of carbon management using ocean nourishment","Ocean fertilization"
"403","Bozec, Y, Bakker, DCE, Hartmann, C, Thomas, H, Bellerby, RGJ, Nightingale, PD, Riebesell, U, Watson, AJ, de Baar, HJW","2005","The CO2 system in a Redfield context during an iron enrichment experiment in the Southern Ocean","Ocean fertilization"
"404","Lomax, G; Workman, M; Lenton, T; Shah, N","2015","Reframing the policy approach to greenhouse gas removal technologies","Biochar"
"406","Woolf, D; Amonette, JE; Street-Perrott, FA; Lehmann, J; Joseph, S","2010","Sustainable biochar to mitigate global climate change","Biochar"
"407","Smith, P","2016","Soil carbon sequestration and biochar as negative emission technologies","Biochar"
"408","Roberts, KG; Gloy, BA; Scott, NR; Joseph, S; Lehmann, J","2010","Life Cycle Assessment of Biochar Systems: Estimating the Energetic, Economic, and Climate Change Potential","Biochar"
"410","Powell, TWR; Lenton, TM","2012","Future carbon dioxide removal via biomass energy constrained by agricultural efficiency and dietary trends","Biochar"
"412","Lee, J.W.; Day, D.M.","2013","Smokeless biomass pyrolysis for producing biofuels and biochar as a possible arsenal to control climate change","Biochar"
"413","Lee, JW; Hawkins, B; Day, DM; Reicosky, DC","2010","Sustainability: the capacity of smokeless biomass pyrolysis for energy production, global carbon capture and sequestration","Biochar"
"414","Paustian, K; Lehmann, J; Ogle, S; Reay, D; Robertson, GP; Smith, P","2016","Climate-smart soils","Biochar"
"415","Pratt, K; Moran, D","2010","Evaluating the cost-effectiveness of global biochar mitigation potential","Biochar"
"417","Ilan Stavi &Rattan Lal","2013","Agroforestry and biochar to offset climate change: a review","Biochar"
"418","Quilliam, RS; Rangecroft, S; Emmett, BA; Deluca, TH; Jones, DL","2013","Is biochar a source or sink for polycyclic aromatic hydrocarbon (PAH) compounds in agricultural soils?","Biochar"
"419","Drake, JA; Carrucan, A; Jackson, WR; Cavagnaro, TR; Patti, AF","2015","Biochar application during reforestation alters species present and soil chemistry","Biochar"
"420","Field, JL; Keske, CMH; Birch, GL; Defoort, MW; Cotrufo, MF","2013","Distributed biochar and bioenergy coproduction: a regionally specific case study of environmental benefits and economic impacts","Biochar"
"421","Post, WM; Izaurralde, RC; West, TO; Liebig, MA; King, AW","2012","Management opportunities for enhancing terrestrial carbon dioxide sinks","Biochar"
"422","Downie, AE; Van Zwieten, L; Smernik, RJ; Morris, S; Munroe, PR","2011","Terra Preta Australis: Reassessing the carbon storage capacity of temperate soils","Biochar"
"423","Dai, LC; Li, H; Tan, FR; Zhu, NM; He, MX; He, MX; Hu, GQ","2016","Biochar: a potential route for recycling of phosphorus in agricultural residues","Biochar"
"424","Hernandez-Soriano, MC; Hernandez-Soriano, MC; Kerre, B; Goos, P; Hardy, B; Dufey, J; Smolders, E","2016","Long-term effect of biochar on the stabilization of recent carbon: soils with historical inputs of charcoal","Biochar"
"425","Bruckman, V.J.; Terada, T.; Uzun, B.B.; Apaydin-Varol, E.; Liu, J.","2015","Biochar for Climate Change Mitigation: Tracing the in-situ Priming Effect on a Forest Site","Biochar"
"426","Kauffman, N; Dumortier, J; Hayes, DJ; Brown, RC; Laird, DA","2014","Producing energy while sequestering carbon? The relationship between biochar and agricultural productivity","Biochar"
"427","Gurwick, NP; Moore, LA; Kelly, C; Elias, P","2013","A Systematic Review of Biochar Research, with a Focus on Its Stability in situ and Its Promise as a Climate Mitigation Strategy","Biochar"
"428","Naisse, C; Girardin, C; Lefevre, R; Pozzi, A; Maas, R; Stark, A; Rumpel, C","2015","Effect of physical weathering on the carbon sequestration potential of biochars and hydrochars in soil","Biochar"
"429","Bach, M; Wilske, B; Breuer, L","2016","Current economic obstacles to biochar use in agriculture and climate change mitigation","Biochar"
"430","Yoder, JK; Galinato, SP; Granatstein, D","2011","The economic value of biochar in crop production and carbon sequestration","Biochar"
"431","Sheng, YQ; Zhan, Y; Zhu, LZ","2016","Reduced carbon sequestration potential of biochar in acidic soil","Biochar"
"432","Viger, M; Hancock, RD; Miglietta, F; Miglietta, F; Taylor, G","2015","More plant growth but less plant defence? First global gene expression data for plants grown in soil amended with biochar","Biochar"
"433","Crane-Droesch, A; Abiven, S; Jeffery, S; Torn, MS","2013","Heterogeneous global crop yield response to biochar: a meta-regression analysis","Biochar"
"434","Brassard, P; Godbout, S; Raghavan, V","2016","Soil biochar amendment as a climate change mitigation tool: Key parameters and mechanisms involved","Biochar"
"435","Downie, A; Lau, D; Cowie, A; Munroe, P",NA,"Approaches to greenhouse gas accounting methods for biomass carbon","Biochar"
"436","Thomas, SC; Gale, N","2013","Biochar and forest restoration: a review and meta-analysis of tree growth responses","Biochar"
"437","Meyer, S; Glaser, B; Quicker, P","2011","Technical, Economical, and Climate-Related Aspects of Biochar Production Technologies: A Literature Review","Biochar"
"438","Thomazini, A; Spokas, K; Hall, K; Ippolito, J; Lentz, R; Novak, J","2015","GHG impacts of biochar: Predictability for the same biochar","Biochar"
"439","Chen, J; Kim, H; Yoo, G","2015","Effects of Biochar Addition on CO2 and N2O Emissions following Fertilizer Application to a Cultivated Grassland Soil","Biochar"
"440","Herath, HMSK; Camps-Arbestain, M; Hedley, MJ; Kirschbaum, MUF; Wang, T; van Hale, R","2015","Experimental evidence for sequestering C with biochar by avoidance of CO2 emissions from original feedstock and protection of native soil organic matter","Biochar"
"441","Jeffery, S; Bezemer, TM; Cornelissen, G; Kuyper, TW; Lehmann, J; Mommer, L; Sohi, SP; van de Voorde, TFJ; Wardle, DA; van Groenigen, JW","2015","The way forward in biochar research: targeting trade-offs between the potential wins","Biochar"
"442","Woolf, D; Lehmann, J; Lee, DR","2016","Optimal bioenergy power generation for climate change mitigation with or without carbon sequestration","Biochar"
"443","Shackley, S; Hammond, J; Gaunt, J; Ibarrola, R","2011","The feasibility and costs of biochar deployment in the UK","Biochar"
"444","Wang, JY; Xiong, ZQ; Kuzyakov, Y","2016","Biochar stability in soil: meta-analysis of decomposition and priming effects","Biochar"
"445","Biederman, LA; Harpole, WS","2013","Biochar and its effects on plant productivity and nutrient cycling: a meta-analysis","Biochar"
"446","McGlashan, N; Caldecott, B; Shah, N; Workman, M","2012","High-level techno-economic assessment of negative emissions technologies","Biochar"
"447","Fang, Y.; Singh, B.P.; Krull, E","2014","Biochar carbon stability in four contrasting soils","Biochar"
"448","Whitman, T; Lehmann, J","2009","Biochar-One way forward for soil carbon in offset mechanisms in Africa?","Biochar"
"450","Criscuoli, I; Alberti, G; Baronti, S; Favilli, F; Martinez, C; Calzolari, C; Pusceddu, E; Rumpel, C; Viola, R; Miglietta, F","2014","Carbon Sequestration and Fertility after Centennial Time Scale Incorporation of Charcoal into Soil","Biochar"
"451","Spokas, KA; Cantrell, KB; Novak, JM; Archer, DW; Ippolito, JA; Collins, HP; Boateng, AA; Lima, IM; Lamb, MC; McAloon, AJ; Lentz, RD; Nichols, KA","2012","Biochar: A Synthesis of Its Agronomic Impact beyond Carbon Sequestration","Biochar"
"452","Omondi, MO; Xia, X; Nahayo, A; Liu, XY; Korai, PK; Pan, GX","2016","Quantification of biochar effects on soil hydrological properties using meta-analysis of literature data","Biochar"
"453","Vochozka, M; Marouskova, A; Vachal, J; Strakova, J","2016","Biochar pricing hampers biochar farming","Biochar"
"454","Cross, A; Sohi, SP","2013","A method for screening the relative long-term stability of biochar","Biochar"
"455","Nanda, S; Reddy, SN; Mitra, SK; Kozinski, JA","2016","The progressive routes for carbon capture and sequestration","Biochar"
"456","Zimmermann, M; Bird, MI; Wurster, C; Saiz, G; Goodrick, I; Barta, J; Capek, P; Santruckova, H; Smernik, R","2012","Rapid degradation of pyrogenic carbon","Biochar"
"458","Sohi, SP","2012","Carbon Storage with Benefits","Biochar"
"459","Jeffery, S; Verheijen, FGA; Kammann, C; Abalos, D","2016","Biochar effects on methane emissions from soils: A meta-analysis","Biochar"
"460","Dickinson, D; Balduccio, L; Buysse, J; Ronsse, F; van Huylenbroeck, G; Prins, W","2015","Cost-benefit analysis of using biochar to improve cereals agriculture","Biochar"
"461","Schimmelpfennig, S; Muller, C; Grunhage, L; Koch, C; Kammann, C","2014","Biochar, hydrochar and uncarbonized feedstock application to permanent grassland-Effects on greenhouse gas emissions and plant growth","Biochar"
"462","Aller, MF","2016","Biochar properties: Transport, fate, and impact","Biochar"
"463","Plaza, C; Giannetta, B; Fernandez, JM; Lopez-de-Sa, EG; Polo, A; Gasco, G; Mendez, A; Zaccone, C","2016","Response of different soil organic matter pools to biochar and organic fertilizers","Biochar"
"464","Kuppusamy, S; Thavamani, P; Megharaj, M; Venkateswarlu, K; Naidu, R","2016","Agronomic and remedial benefits and risks of applying biochar to soil: Current knowledge and future research directions","Biochar"
"465","Bass, AM; Bird, MI; Kay, G; Muirhead, B","2016","Soil properties, greenhouse gas emissions and crop yield under compost, biochar and co-composted biochar in two tropical agronomic systems","Biochar"
"466","Cozier, M","2014","China's 1st 2nd generation biorefinery","Biochar"
"467","Woolf, D; Lehmann, J","2012","Modelling the long-term response to positive and negative priming of soil organic carbon by black carbon","Biochar"
"468","Mata, L; Cole, AJ; Paul, NA; de Nys, R","2014","Using CO2 to enhance carbon capture and biomass applications of freshwater macroalgae","Biochar"
"469","Verma, M.; M'Hamdi, N.; Dkhili, Z.; Brar, S.K.; Misra, K.","2014","Thermochemical transformation of agro-biomass into biochar: Simultaneous carbon sequestration and soil amendment","Biochar"
"470","Lorenz, K; Lal, R","2014","Biochar application to soil for climate change mitigation by soil organic carbon sequestration","Biochar"
"471","Dang, Q; Wright, MM; Brown, RC","2015","Ultra-Low Carbon Emissions from Coal-Fired Power Plants through Bio-Oil Co-Firing and Biochar Sequestration","Biochar"
"472","Liang, CF; Zhu, XL; Fu, SL; Mendez, A; Gasco, G; Paz-Ferreiro, J","2014","Biochar alters the resistance and resilience to drought in a tropical soil","Biochar"
"473","Bruun, EW; Muller-Stover, D; Ambus, P; Hauggaard-Nielsen, H","2011","Application of biochar to soil and N2O emissions: potential effects of blending fast-pyrolysis biochar with anaerobically digested slurry","Biochar"
"474","Macias, F; Arbestain, MC","2010","Soil carbon sequestration in a changing global environment","Biochar"
"475","Bamminger, C; Poll, C; Sixt, C; Hogy, P; Wust, D; Kandeler, E; Marhan, S","2016","Short-term response of soil microorganisms to biochar addition in a temperate agroecosystem under soil warming","Biochar"
"476","Glaser, B; Birk, JJ","2012","State of the scientific knowledge on properties and genesis of Anthropogenic Dark Earths in Central Amazonia (terra preta de Indio)","Biochar"
"477","Han, XG; Sun, X; Wang, C; Wu, MX; Dong, D; Zhong, T; Thies, JE; Wu, WX","2016","Mitigating methane emission from paddy soil with rice-straw biochar amendment under projected climate change","Biochar"
"478","Jones, DL; Quilliam RS","2014","Metal contaminated biochar and wood ash negatively affect plant growth and soil quality after land application","Biochar"
"479","Jiang, X; Denef, K; Stewart, CE; Cotrufo, M.F.","2016","Controls and dynamics of biochar decomposition and soil microbial abundance, composition, and carbon use efficiency during long-term biochar-amended soil incubations","Biochar"
"480","Bozzi, E; Genesio, L; Toscano, P; Pieri, M; Miglietta, F","2015","Mimicking biochar-albedo feedback in complex Mediterranean agricultural landscapes","Biochar"
"481","Puga, AP; Abreu, CA; Melo, LCA; Beesley, L","2015","Biochar application to a contaminated soil reduces the availability and plant uptake of zinc, lead and cadmium","Biochar"
"482","Buss, W; Masek, O; Graham, M; Wüst, D","2015","Inherent organic compounds in biochar-Their content, composition and potential toxic effects","Biochar"
"483","Zhang, DX; Yan, M; Niu, YR; Liu, XY; van Zwieten, L; Chen, D; Bian, RJ; Cheng, K; Li, LQ; Joseph, S; Zheng, JW; Zhang, XH; Zheng, JF; Crowley, D; Filley, TR; Pan, GX","2016","Is current biochar research addressing global soil constraints for sustainable agriculture?","Biochar"
"484","Xie, T; Reddy, KR; Wang, C; Yargicoglu, E; Spokas, K","2015","Characteristics and Applications of Biochar for Environmental Remediation: A Review","Biochar"
"485","Batjes, N.H. (2004) Estimation of soil carbon gains upon improved management within croplands and grasslands of Africa","2004","http://dx.doi.org/10.1023/B:ENVI.0000003633.14591.fd","Soil Carbon Sequestration"
"486","Shi, J., Liu, J., Gao, Z., Cui, L. (2005) A review on the influence of afforestation on soil carbon storage","2005","http://dx.doi.org/None","Soil Carbon Sequestration"
"487","Hediger, W. (2006) Modeling GHG emissions and carbon sequestration in Swiss agriculture: An integrated economic approach","2006","http://dx.doi.org/10.1016/j.ics.2006.02.001","Soil Carbon Sequestration"
"493","BrandÃ£o, M., Clift, R., MilÃ , L.C., Basson, L. (2010) A life-cycle approach to characterising environmental and economic impacts of multifunctional land-use systems: An integrated assessment in the UK","2010","http://dx.doi.org/10.3390/su2123747","Soil Carbon Sequestration"
"494","Gupta, S., Struyk, A., Gilbert, D. (2011) Carbon sequestration from waste through conversion to charcoal: Equipment for a small-scale operation","2011","https://doi.org/10.2118/136887-PA","Soil Carbon Sequestration"
"495","Si, J., Jia, L.-M., Wei, Y.-K., Xing, C.-S., Liu, S.-Q., Guo, Z.-X. (2012) Carbon storage in fast-growing and high-yield poplar plantations under subsurface drip irrigation","2012","https://www.cabdirect.org/cabdirect/abstract/20123156780","Soil Carbon Sequestration"
"496","Zhang, M., Wei, Y., Kong, F., Chen, F., Zhang, H. (2012) Effects of tillage practices on soil carbon storage and greenhouse gas emission of farmland in North China","2012","http://dx.doi.org/10.3969/j.issn.1002-6819.2012.06.033","Soil Carbon Sequestration"
"497","de Souza, J.L., Prezotti, L.C., AndrÃ© GuarÃ§oni, M. (2012) Carbon sequestration potential in agricultural soils under organic management to reduce greenhouse effect gas emissions","2012","http://dx.doi.org/10.4067/S0718-34292012000100002","Soil Carbon Sequestration"
